Date;Gold XAU/EUR Rate FX Unhdg.;1-5 Year US Govt (ICE) FX Unhdg.;1-5 Year Global Non-Sov (ICE) IR hdg. IRS;World Equity (MSCI) FX Unhdg.;1-3 Year China Govt (ICE) FX Unhdg.;US Inflation-Linked Govt (ICE) FX Hdg.;US MBS (ICE) FX Hdg.;EM global IG Govt (JPM) FX Hdg.
18.02.1997;-0,001494272;0,00663;0,00083;-0,001633039;;;0,00032;
19.02.1997;0,005653475;0,00109;-0,00006;0,001517714;;;-0,00002;
20.02.1997;0,007208995;-0,00496;0,00065;-0,004376958;;;-0,00146;
21.02.1997;0,006697748;-0,00327;-0,00026;-0,002457764;;;0,00028;
24.02.1997;-0,0066858;-0,00759;0,00009;-0,001225738;;;-0,00035;
25.02.1997;0,001805825;0,00276;0,00003;0,007907276;;;0,00027;
26.02.1997;0,009504457;0,00316;0,00044;0,000838448;;;-0,00522;
27.02.1997;0,013732874;0,00096;-0,0002;-0,004628505;;;-0,00127;
28.02.1997;0,014347478;-0,00083;0,0005;-0,005496174;;;0,00108;
03.03.1997;-0,000189436;0,00357;0,00061;0,00258253;;-0,00108;-0,00013;
04.03.1997;-0,002021031;0,00692;-0,0007;0,008638051;;-0,00078;-0,00227;
05.03.1997;-0,016612347;0,00147;0,0001;0,005412453;;-0,00048;0,00057;
06.03.1997;-0,001029667;0,00311;0,00005;0,002160636;;-0,00079;-0,00083;
07.03.1997;-0,009985183;0,00127;-0,00028;0,003759611;;0,00237;0,00239;
10.03.1997;0,00113873;-0,00676;0,00026;-0,001133154;;0,00015;0,0013;
11.03.1997;0,007507068;0,00081;-0,00008;0,00172583;;-0,00203;-0,00007;
12.03.1997;-0,008644604;-0,00171;0,00016;-0,009364588;;-0,00015;-0,00044;
13.03.1997;0,010704757;-0,00199;0,00008;-0,01126847;;-0,00392;-0,00449;
14.03.1997;-0,009979719;-0,00076;0,00016;0,00048276;;0,00022;0,00081;
17.03.1997;-0,010080317;-0,00258;0,0002;-0,006659522;;-0,00141;-0,00053;
18.03.1997;-0,005025786;-0,0055;0,00027;-0,008211611;;-0,00008;0,00016;
19.03.1997;0,008946847;0,00015;-0,00021;-0,001588127;;-0,00071;-0,00093;
20.03.1997;0,00431923;0,00201;0,00067;-0,003260931;;-0,00118;-0,00073;
21.03.1997;-0,001303229;-0,00307;-0,00053;0,002365378;;-0,00043;-0,00022;
24.03.1997;-0,007535967;0,00424;-0,00002;0,001999453;;0,00265;0,00172;
25.03.1997;-0,006541319;-0,00136;0,00021;0,004985215;;-0,00296;-0,00129;
26.03.1997;0,00645204;-0,00056;-0,00028;0,00411263;;-0,00212;-0,00212;
27.03.1997;-0,015023999;-0,01054;-0,00038;-0,01527501;;-0,0032;-0,00394;
31.03.1997;0,002747617;-0,00425;0,00055;-0,010341238;;0,00109;0,00054;
01.04.1997;-0,004555809;0,00008;0,00053;-0,011547717;;0,00015;0,00209;
02.04.1997;-0,002918449;0,00109;-0,00046;-0,00349678;;0,00079;-0,00012;
03.04.1997;-0,00445701;-0,00056;0,00004;-0,003991472;;0,00039;0,00093;
04.04.1997;0,008118673;0,00089;-0,00014;0,006784955;;-0,00323;-0,00168;
07.04.1997;0,009776629;0,01927;-0,00045;0,019339878;;0,00397;0,00234;
08.04.1997;0,003478946;0,00127;0;0,003248842;;-0,00557;-0,0008;
09.04.1997;0,004971382;0,00506;-0,00006;0,001621639;;-0,00082;0,00037;
10.04.1997;-0,001334331;-0,00129;-0,00012;-0,005826302;;-0,00022;-0,00039;
11.04.1997;-0,003486932;0,00256;-0,00005;-0,008274987;;-0,00148;-0,00302;
14.04.1997;0,00284509;-0,00128;-0,00001;-0,002521931;;0,00081;0,00026;
15.04.1997;-0,014054653;0,00831;-0,00005;0,015500737;;0,00316;0,00447;
16.04.1997;-0,000297668;-0,00245;-0,00013;0,004174523;;-0,0002;-0,00015;
17.04.1997;-0,000363925;-0,00129;0,00043;0,000276918;;0,00014;0,00246;
18.04.1997;-0,008969055;-0,00362;0,00038;0,000170415;;0,0021;0,00159;
21.04.1997;-0,001102057;-0,00514;0,00026;-0,005703235;;-0,00081;-0,00087;
22.04.1997;0,004881147;0,00493;-0,00028;0,01028476;;0,0009;0,00152;
23.04.1997;-0,000998104;-0,0001;0,00011;0,00433553;;-0,00154;-0,00184;
24.04.1997;-0,00059946;0,00232;0,00028;0,001008817;;-0,00084;-0,00183;
25.04.1997;0,010830084;0,00398;-0,00022;-0,002704522;;-0,00019;-0,00048;
28.04.1997;-0,005769104;0,00194;-0,00025;0,003413403;;0,00178;0,00137;
29.04.1997;-0,0041447;0,00091;-0,00052;0,011288982;;0,00347;0,00634;
30.04.1997;0,002297396;0,00543;0,00018;0,012445955;;0,0025;0,00296;
01.05.1997;-0,000564728;-0,00455;-0,00017;-0,002676215;;-0,00173;0,0015;
02.05.1997;0,002060759;0,00462;-0,00017;0,015209251;;0,00171;-0,00104;
05.05.1997;0,010581133;0,00183;0,00015;0,011023625;;0,00079;0,00125;
06.05.1997;-0,011553484;-0,00419;0,00011;0,0058148;;-0,00089;0,00065;
07.05.1997;0,00159389;-0,00333;-0,00014;-0,007034743;;-0,00236;-0,00308;
